commande	1_graph	8_frantfreqparm
918	tiens	76.23
919	demandé	76.19
920	laissé	76.03
921	images	76
922	lignes	75.74
923	phénomènes	75.74
924	notion	75.68
925	sociétés	75.65
926	ferme	75.58
927	apparaît	75.55
928	lire	75.55
929	ventre	75.48
930	cher	75.35
931	mouvements	75.29
932	parlé	75.16
933	gaulle	75.03
934	population	74.94
935	auprès	74.58
936	rencontre	74.55
937	lois	74.39
938	langage	74.29
939	secret	74.29
940	court	74.16
941	étions	74.16
942	facile	74.06
943	social	74.06
944	noms	74
945	campagne	73.87
946	foi	73.87
947	frais	73.81
948	absence	73.74
949	comité	73.71
950	calme	73.68
951	commence	73.68
952	condition	73.58
953	cadre	73.48
954	faisaient	73.45
955	gris	73.45
956	personnes	73.32
957	ancien	73.29
958	donnait	73.23
959	tels	73.06
960	commission	72.94
961	équilibre	72.84
962	information	72.68
963	suivre	72.58
964	durée	72.55
965	viens	72.55
966	raisons	72.48
967	usage	72.48
968	forêt	72.39
969	moderne	72.35
970	méthodes	72.29
971	entreprises	72.26
972	rues	72.19
973	répondre	72.06
974	contrôle	71.84
975	unique	71.81
976	regarda	71.74
977	environ	71.65
978	devenu	71.61
979	classes	71.55
980	obtenir	71.55
981	vas	71.39
982	passait	71.32
983	doucement	71.23
984	univers	70.97
985	brusquement	70.9
986	dents	70.87
987	théâtre	70.84
988	dame	70.81
989	parole	70.74
990	généralement	70.71
991	hiver	70.39
992	perdre	70.39
993	enfance	70.23
994	naturellement	70.23
995	avis	70.16
996	faute	70.16
997	toutefois	70.13
998	morts	69.97
999	économiques	69.94
1000	ceci	69.9
1001	mari	69.84
1002	solution	69.84
1003	expliquer	69.77
1004	pluie	69.74
1005	quinze	69.71
1006	chien	69.68
1007	métier	69.68
1008	assurer	69.61
1009	autrefois	69.58
1010	paroles	69.58
1011	rapide	69.55
1012	voulez	69.45
1013	escalier	69.39
1014	francs	69.35
1015	larmes	69.32
1016	maladie	69.16
1017	pose	69.13
1018	complètement	68.97
1019	république	68.97
1020	militaire	68.94
1021	dites	68.9
1022	rose	68.9
1023	semaine	68.71
1024	construction	68.65
1025	servir	68.61
1026	aimait	68.52
1027	cuisine	68.45
1028	côte	68.45
1029	savais	68.45
1030	charge	68.23
1031	directement	68.19
1032	revient	68.16
1033	sommeil	68.06
1034	contact	67.84
1035	don	67.61
1036	naissance	67.61
1037	porter	67.61
1038	degré	67.48
1039	derniers	67.32
1040	sac	67.32
1041	souffle	67.32
1042	arrivée	67.26
1043	parfaitement	67.19
1044	honneur	67.13
1045	proche	67.1
1046	dessous	67.06
1047	distance	67
1048	régions	67
1049	foule	66.94
1050	réponse	66.94
1051	attendait	66.81
1052	immense	66.81
1053	forte	66.61
1054	montrer	66.61
1055	arrivé	66.58
1056	tantôt	66.55
1057	fil	66.48
1058	fou	66.42
1059	règles	66.42
1060	publique	66.35
1061	manque	66.32
1062	noirs	66.29
