id	word	frequency
720	gelten	9
721	geöffnet	9
722	Glück	9
723	großer	9
724	Gründe	9
725	Grünen	9
726	hilft	9
727	hingegen	9
728	Hinzu	9
729	Ihrer	9
730	indes	9
731	innerhalb	9
732	Ja	9
733	Jahrhundert	9
734	Jeder	9
735	jeweiligen	9
736	Kann	9
737	Kindern	9
738	Koalition	9
739	Konkurrenz	9
740	kurz	9
741	lässt	9
742	meisten	9
743	Mitte	9
744	mittels	9
745	nannte	9
746	November	9
747	Pläne	9
748	politische	9
749	Prozess	9
750	Qualität	9
751	sagt	9
752	Schließlich	9
753	schließlich	9
754	sehr gut	9
755	sieben	9
756	standen	9
757	Stelle	9
758	stellt	9
759	Straße	9
760	Tage	9
761	Technik	9
762	unklar	9
763	unseren	9
764	Untersuchung	9
765	Urteil	9
766	Veranstaltung	9
767	Verein	9
768	Verlust	9
769	voller	9
770	völlig	9
771	weist	9
772	weit	9
773	wenig	9
774	wichtigsten	9
775	Wunsch	9
776	Zahlen	9
777	Zeichen	9
778	Aktien	8
779	aktuellen	8
780	allem	8
781	an das	8
782	Andere	8
783	Änderungen	8
784	anerkannt	8
785	angelegt	8
786	angezeigt	8
787	Aufgaben	8
788	bekommt	8
789	beteiligt	8
790	bilden	8
791	bildet	8
792	Buch	8
793	Davon	8
794	direkt	8
795	dürfte	8
796	eben	8
797	entdeckt	8
798	entsprechenden	8
799	ergab	8
800	ergänzt	8
801	Ergebnisse	8
802	erhält	8
803	erhöhte	8
804	erstmals	8
805	euch	8
806	fand	8
807	fehlt	8
808	finde	8
809	folgte	8
810	frei	8
811	Frühjahr	8
812	führten	8
813	geboren	8
814	Gerät	8
815	geschätzt	8
816	gestern	8
817	gewonnen	8
818	gingen	8
819	Gründen	8
820	guten	8
821	gutes	8
822	helfen	8
823	Herbst	8
824	Hilfe	8
825	Ihrem	8
826	ihrem	8
827	in dem	8
828	Junge	8
829	Kirche	8
830	komplett	8
831	Kopf	8
832	Krankenkassen	8
833	Kritik	8
834	Leider	8
835	Leistungen	8
836	letzte	8
837	letzten	8
838	Liste	8
839	los	8
840	Markt	8
841	Mehrheit	8
842	Meine	8
843	meiner	8
844	meist	8
845	Monate	8
846	Münchner	8
847	Nachfolger	8
848	Nachmittag	8
849	Nacht	8
850	nahm	8
851	Nutzung	8
852	Ort	8
853	passiert	8
854	Person	8
855	Plan	8
856	Polizisten	8
857	präsentiert	8
858	Praxis	8
859	Prüfung	8
860	Quartal	8
861	Raum	8
862	recht	8
863	richtig	8
864	richtige	8
865	Richtung	8
866	Risiko	8
867	Ruhe	8
868	Rund	8
869	Sache	8
870	sah	8
871	Samstag	8
872	schneller	8
873	Selbst	8
874	Sicht	8
875	sichtbar	8
876	solche	8
877	Somit	8
878	sorgen	8
879	Spaß	8
880	stammt	8
881	startet	8
882	Streit	8
883	Stück	8
884	suchen	8
885	teilte	8
886	Tradition	8
887	traf	8
888	Überblick	8
889	Umgang	8
890	verändert	8
891	verbessert	8
892	Verfahren	8
893	verkauft	8
894	verlangt	8
895	Versuch	8
896	Viel	8
897	Vom	8
898	vorbei	8
899	Vorsicht	8
900	Vorwürfe	8
901	wären	8
902	warten	8
903	was	8
904	Werte	8
905	Wettbewerb	8
906	wies	8
907	wollten	8
908	z.B	8
909	Ziele	8
910	zog	8
911	Zug	8
912	Zusammenarbeit	8
913	Abend	7
914	Ähnlich	7
915	allein	7
916	Am Ende	7
917	Anbieter	7
918	ändern	7
919	angenommen	7
920	Anwendung	7
921	Anzeige	7
922	arbeitet	7
923	Arbeitsplätze	7
924	Art	7
925	Artikel	7
926	Aufgabe	7
927	Augen	7
928	automatisch	7
929	Autoren	7
930	Bedeutung	7
931	beendet	7
932	begründet	7
933	beiden	7
934	besondere	7
935	bessere	7
936	bestehen	7
937	besten	7
938	Bis	7
939	Bundesrat	7
940	China	7
941	Computer	7
942	dar	7
943	deutliche	7
944	diesmal	7
945	eigene	7
946	Eindruck	7
947	eingerichtet	7
948	eingestellt	7
949	Eintritt	7
950	einzelnen	7
951	elf	7
952	endet	7
953	Endlich	7
954	Ermittlungen	7
955	errichtet	7
956	erscheint	7
957	erweitert	7
958	Essen	7
959	Euch	7
960	fahren	7
961	Fahrer	7
962	fallen	7
963	Firmen	7
964	fordern	7
965	Förderung	7
966	fortgesetzt	7
967	Fotos	7
968	Franken	7
969	Funktion	7
970	garantiert	7
971	gehalten	7
972	genug	7
973	gesamten	7
974	gesehen	7
975	gesperrt	7
976	gesunken	7
977	Gewerkschaften	7
978	Gewinn	7
979	gewinnt	7
980	Grenze	7
981	großes	7
982	Großteil	7
983	Gute	7
984	Herrn	7
985	Hintergrund	7
986	Homepage	7
987	Ideen	7
988	Immer	7
989	insbesondere	7
990	Insel	7
991	Investitionen	7
992	Jahres	7
993	jede	7
994	kann nicht	7
995	Karte	7
996	könne	7
997	kostenlos	7
998	Krankenhaus	7
999	kritisiert	7
1000	lagen	7
1001	Ländern	7
1002	Landgericht	7
1003	länger	7
1004	leer	7
1005	legten	7
1006	Leistung	7
1007	Macht	7
1008	Männer	7
1009	Mehr	7
1010	meinem	7
1011	Minuten	7
1012	Mittel	7
1013	Möglichkeit	7
1014	Morgen	7
1015	München	7
1016	Musik	7
1017	mussten	7
1018	neben	7
1019	nehmen	7
1020	Netz	7
1021	neues	7
1022	organisiert	7
1023	Parlament	7
1024	Partner	7
1025	per	7
1026	profitieren	7
1027	Publikum	7
1028	Punkt	7
1029	Region	7
1030	reicht	7
1031	Rennen	7
1032	Rest	7
1033	Rückgang	7
1034	Schaden	7
1035	schön	7
1036	Schweizer	7
1037	sehe	7
1038	seinem	7
1039	setzte	7
1040	spielten	7
1041	Staaten	7
1042	sucht	7
1043	SV	7
1044	teuer	7
1045	Text	7
1046	u.a	7
1047	übernimmt	7
1048	übernommen	7
1049	Übung	7
1050	umgehend	7
1051	umgesetzt	7
1052	Umsetzung	7
1053	unser	7
1054	unterstützen	7
1055	Unterstützung	7
1056	Ursache	7
1057	Vater	7
1058	Verkauf	7
1059	verlassen	7
1060	Veröffentlichung	7
1061	vielen	7
1062	vierten	7
1063	Vorhaben	7
1064	wächst	7
1065	Wagen	7
1066	Wahl	7
1067	wählen	7
1068	Wegen	7
1069	Weihnachten	7
1070	Weiter	7
1071	weiteres	7
1072	Wetter	7
1073	wichtiger	7
1074	wichtigste	7
1075	Widerstand	7
1076	wissen	7
1077	zählen	7
1078	Zähler	7
1079	ziemlich	7
1080	Zuschauer	7
1081	aktuelle	6
